EmpID,BiasInfluentialFactor,FitmentPercent
5664,EmpScore,89.74702188964037
23568,EmpScore,90.12532934155003
21490,CurrentCompanyType,81.3492985385265
8363,EmpScore,55.566021159363174
6165,CurrentCompanyType,82.18173965555866
17679,EmpScore,59.778441741847175
9715,CurrentCompanyType,80.96040689791828
12591,CurrentCTC,56.20538710250415
6140,EmpScore,55.07339949780947
21018,DepartmentInCompany,53.86306748599587
13221,CurrentCompanyType,79.97373162398232
23585,CurrentCompanyType,80.22066882940557
22575,CurrentCompanyType,81.0698461221643
6078,Gender,90.82340161253519
24125,CurrentCompanyType,80.02737353092694
18073,GraduationYear,55.11896708679264
21420,CurrentCompanyType,80.73927311463612
13218,CurrentCompanyType,79.45713670181686
8728,CurrentCTC,57.496596983147484
21541,TotalLeavesTaken,56.17367022332213
12905,Gender,88.10137225281242
19873,CurrentCompanyType,82.40425379569061
6947,Gender,89.74330984048922
19019,CurrentCompanyType,81.58628276076702
24372,EmpScore,56.57745103292632
5298,CurrentCompanyType,79.08635078764073
18306,EmpScore,55.8958196565128
22877,MartialStatus,54.256520189846256
15511,CurrentCompanyType,78.70258938071896
11889,CurrentCompanyType,80.20178740603934
9848,Gender,79.29616968055758
4944,CurrentCompanyType,79.70748075402683
4689,CurrentCTC,67.49193230200436
24333,Gender,90.35661684687297
12186,Gender,80.98660847768731
2936,CurrentCompanyType,80.66147472990568
5082,EmpScore,54.900642971327045
22236,Gender,90.31862848166092
19221,Gender,89.69197148731331
20858,CurrentCTC,67.14849403220816
16461,MartialStatus,54.56475035422194
22064,HighestDegree,52.7753692542378
3175,Gender,82.30235153557248
18407,CurrentCompanyType,80.86373553398771
3684,Gender,78.9357775413966
2198,CurrentDesignation,55.81282023264423
7540,CurrentCompanyType,80.4687682489794
12700,Gender,89.43931597368423
17503,CurrentCompanyType,81.71503620017766
9153,MartialStatus,53.39736721754977
12564,EmpScore,54.330124565456984
16511,Gender,78.19583793332782
16396,EmpScore,54.6495756121238
6871,CurrentCompanyType,82.01944699291928
9376,Gender,81.99745100501903
7865,Gender,81.33349464357342
20616,EmpScore,54.70877329010306
8839,EmpScore,89.45523451477224
15788,Gender,90.22620947739519
10040,CurrentCompanyType,80.78862989512118
6147,CurrentCTC,57.29099645082089
24148,Gender,81.09019121809474
4187,DegreeBranch,52.77344232338221
18097,EmpScore,54.84892448237452
11617,Gender,81.06467852882253
3642,CurrentCompanyType,78.96474813864374
17990,CurrentCompanyType,81.17030858666583
10677,CurrentCompanyType,81.5016623183949
2215,EmpScore,89.79088566158548
9784,Gender,80.84709756318998
13451,CurrentCompanyType,82.08762117962038
16266,CurrentCompanyType,81.95186705640708
19313,CurrentCompanyType,80.15633501484898
16790,Gender,78.69795402368264
21204,EmpScore,55.28695842879475
24019,MartialStatus,54.368805494766484
14539,CurrentCompanyType,80.14823385706174
3123,CurrentCompanyType,80.57012912523268
9647,CurrentCompanyType,81.70197619885735
18930,Gender,78.8481009356193
23676,CurrentCompanyType,80.98448010575271
16808,EmpScore,54.096605102286546
23101,CurrentCompanyType,79.45099266056293
3010,LatestDegreeCGPA,51.53402961241376
4544,CurrentCompanyType,82.08297243409736
22861,EmpScore,54.9229127200704
10897,EmpScore,89.4563623447733
13475,LatestDegreeCGPA,55.34316448170884
23461,Gender,90.15527446803208
19877,CurrentCompanyType,77.91890515227843
10949,EmpScore,50.71748032330622
13759,CurrentCompanyType,81.80986933188333
9443,CurrentCompanyType,79.76919224485512
5606,Gender,90.07784998994026
21658,CurrentCompanyType,79.80617627233711
9731,MartialStatus,54.23949322462957
16330,CurrentCompanyType,80.97544420893547
18456,CurrentCompanyType,80.15254709395907
22486,Gender,80.87370999365537
4900,CurrentCompanyType,79.4923633169661
12433,Gender,79.20463816689195
10757,CurrentCompanyType,80.67955204459541
20969,EmpScore,90.82253386874802
4565,CurrentDesignation,51.55720328001863
16117,CurrentCompanyType,81.77760492630034
22266,CurrentCompanyType,80.59296614115519
23691,CurrentCompanyType,81.21632557420153
14468,CurrentCompanyType,78.44745466816227
9433,Gender,89.85658722050746
2730,Gender,90.02082617161153
13205,CurrentCompanyType,80.86678730647924
5829,CurrentCTC,57.14678314252528
2418,Gender,78.10676925995048
2634,CurrentCompanyType,81.0198285394232
2693,CurrentCompanyType,78.64723830876943
22436,CurrentCompanyType,80.69682331109995
8840,CurrentCompanyType,79.31995479607012
4130,Gender,79.02854769760906
13577,Gender,79.66454406328127
16463,Gender,78.81260344581352
15922,CurrentCompanyType,81.22905249134601
16368,EmpScore,54.326209399713505
18819,CurrentCompanyType,80.72047223392237
14057,Gender,81.44240445925917
12793,Gender,90.80461059039159
12592,CurrentCompanyType,80.2099086455068
18919,CurrentCompanyType,82.18788485769102
20836,Gender,90.8228042512468
16849,CurrentCompanyType,80.79729211568211
17458,CurrentCompanyType,81.32790389279404
3924,Gender,89.96998101829277
9026,Gender,80.90089369873108
6304,CurrentCompanyType,81.05788062083991
12307,CurrentCompanyType,80.52658300704574
17526,Age,53.60236672751377
11500,MartialStatus,53.53929367267079
11333,CurrentCompanyType,80.32768299018666
12156,EmpScore,89.6852681932921
11591,CurrentCompanyType,79.99807915289918
