iter	RMSE
0	13.33010482
1	12.17645762
2	11.37162489
3	10.80685791
4	10.38392085
5	10.04862748
6	9.859440561
7	9.674019054
8	9.578465247
9	9.516545375
10	9.419888536
11	9.379139361
12	9.365248824
13	9.329371587
14	9.327205016
15	9.324462162
16	9.32154213
17	9.31308398
18	9.307841792
19	9.305926424
20	9.304785385
21	9.303733366
22	9.300574218
23	9.281901634
24	9.281709876
25	9.279903599
26	9.279575304
27	9.261460088
28	9.258176398
29	9.255357026
30	9.253591571
31	9.252617179
32	9.249362573
33	9.249172212
34	9.247603343
35	9.246323732
36	9.245286252
37	9.24405553
38	9.243321545
39	9.241280131
40	9.241086563
41	9.239831769
42	9.237524375
43	9.235816736
44	9.234800948
45	9.232792558
46	9.230828052
47	9.226298234
48	9.226210429
49	9.22465334
50	9.224479022
51	9.223147906
52	9.218857153
53	9.21465802
54	9.212127753
55	9.211536904
56	9.210828181
57	9.205154219
58	9.203829255
59	9.202486847
60	9.199958046
61	9.199334665
62	9.196154295
63	9.193716776
64	9.193587031
65	9.190589673
66	9.190536829
67	9.188715265
68	9.186350645
69	9.183402055
70	9.179939611
71	9.17865789
72	9.176940219
73	9.175625195
74	9.172560612
75	9.170148286
76	9.167910377
77	9.166045499
78	9.165988779
79	9.165367748
80	9.163698308
81	9.1629899
82	9.157701522
83	9.156564063
84	9.156208642
85	9.154138566
86	9.151755466
87	9.151432382
88	9.15054282
89	9.149357084
90	9.148291152
91	9.146725444
92	9.145070315
93	9.145041384
94	9.142378795
95	9.140872046
96	9.132951689
97	9.127736585
98	9.1251503
99	9.124403953
100	9.122065594
101	9.121006171
102	9.120342022
103	9.118945518
104	9.117105362
105	9.114199697
106	9.114165929
107	9.112681673
108	9.112574654
109	9.108072505
110	9.106641928
111	9.103840328
112	9.102608923
113	9.097902561
114	9.097027792
115	9.093334424
116	9.092899463
117	9.091049188
118	9.089748048
119	9.087715169
120	9.085568901
121	9.08280376
122	9.080736865
123	9.078404605
124	9.075225401
125	9.0721692
126	9.069609054
127	9.068492244
128	9.067361945
129	9.065740434
130	9.065352687
131	9.063565321
132	9.061941459
133	9.061094176
134	9.05927486
135	9.057567287
136	9.05292678
137	9.051422711
138	9.050855925
139	9.048895108
140	9.048136137
141	9.047612623
142	9.045938314
143	9.043804365
144	9.043794038
145	9.040286923
146	9.039260527
147	9.038535929
148	9.035310645
149	9.033623298
150	9.030545326
151	9.029733833
152	9.02738461
153	9.025419293
154	9.024550851
155	9.023324718
156	9.02147826
157	9.021368928
158	9.020191196
159	9.018688134
160	9.018054318
161	9.015620738
162	9.014595808
163	9.013037341
164	9.011547986
165	9.010103819
166	9.008801994
167	9.008262902
168	9.007200673
169	9.006437619
170	9.006065638
171	9.005791099
172	9.00543519
173	9.004333982
174	9.003386305
175	9.002446887
176	8.999583675
177	8.998399126
178	8.996748255
179	8.995814174
180	8.99521476
181	8.992510291
182	8.990354398
183	8.98784474
184	8.986478603
185	8.985406982
186	8.984031254
187	8.983702956
188	8.98251523
189	8.980798099
190	8.980688428
191	8.979453661
192	8.978910502
193	8.978121117
194	8.974085979
195	8.973808043
196	8.971122835
197	8.969283018
198	8.96707837
199	8.952874611
