iter	Passed	Remaining
0	33	6644
1	66	6631
2	125	8260
3	162	7986
4	189	7404
5	214	6940
6	235	6490
7	260	6245
8	282	5985
9	305	5808
10	325	5591
11	351	5509
12	382	5506
13	415	5515
14	448	5527
15	479	5514
16	511	5503
17	540	5464
18	569	5421
19	594	5350
20	622	5305
21	654	5298
22	681	5241
23	712	5222
24	731	5122
25	761	5098
26	775	4970
27	805	4946
28	828	4888
29	853	4835
30	875	4775
31	899	4724
32	923	4674
33	946	4620
34	969	4570
35	993	4524
36	1015	4472
37	1038	4428
38	1062	4387
39	1087	4348
40	1110	4304
41	1136	4273
42	1159	4232
43	1182	4192
44	1206	4154
45	1228	4113
46	1257	4094
47	1280	4056
48	1300	4008
49	1324	3972
50	1348	3939
51	1369	3897
52	1394	3868
53	1417	3833
54	1439	3795
55	1464	3767
56	1485	3727
57	1521	3725
58	1543	3689
59	1566	3655
60	1588	3619
61	1611	3586
62	1636	3558
63	1656	3519
64	1676	3481
65	1698	3449
66	1717	3408
67	1741	3380
68	1760	3342
69	1783	3313
70	1806	3282
71	1831	3255
72	1857	3230
73	1880	3201
74	1905	3175
75	1928	3147
76	1952	3119
77	1975	3089
78	1994	3055
79	2019	3028
80	2039	2995
81	2062	2968
82	2082	2935
83	2106	2908
84	2130	2882
85	2155	2857
86	2178	2829
87	2202	2803
88	2226	2776
89	2249	2749
90	2273	2723
91	2308	2709
92	2331	2682
93	2355	2655
94	2378	2628
95	2402	2603
96	2427	2577
97	2452	2552
98	2477	2527
99	2501	2501
100	2525	2475
101	2549	2449
102	2573	2423
103	2596	2397
104	2621	2371
105	2641	2342
106	2665	2316
107	2689	2291
108	2724	2274
109	2756	2255
110	2790	2237
111	2822	2217
112	2852	2196
113	2880	2172
114	2904	2147
115	2927	2119
116	2951	2093
117	2977	2068
118	2998	2040
119	3020	2013
120	3044	1987
121	3064	1958
122	3090	1934
123	3124	1915
124	3163	1898
125	3194	1876
126	3231	1857
127	3263	1835
128	3287	1809
129	3313	1784
130	3339	1758
131	3366	1734
132	3393	1709
133	3419	1684
134	3444	1658
135	3469	1632
136	3493	1606
137	3517	1580
138	3542	1554
139	3568	1529
140	3592	1503
141	3620	1478
142	3645	1453
143	3670	1427
144	3695	1401
145	3719	1375
146	3746	1350
147	3771	1325
148	3796	1299
149	3822	1274
150	3850	1249
151	3879	1225
152	3905	1199
153	3935	1175
154	3957	1149
155	3983	1123
156	4008	1097
157	4033	1072
158	4057	1046
159	4082	1020
160	4108	995
161	4133	969
162	4160	944
163	4184	918
164	4209	892
165	4237	867
166	4266	843
167	4291	817
168	4317	791
169	4356	768
170	4388	744
171	4424	720
172	4459	696
173	4503	672
174	4531	647
175	4558	621
176	4584	595
177	4621	571
178	4649	545
179	4674	519
180	4701	493
181	4730	467
182	4763	442
183	4789	416
184	4828	391
185	4855	365
186	4878	339
187	4902	312
188	4927	286
189	4952	260
190	4979	234
191	5000	208
192	5033	182
193	5059	156
194	5085	130
195	5114	104
196	5139	78
197	5165	52
198	5190	26
199	5213	0
